algorithm,balanced_acc,f1_weighted
Bagging,0.7841099254461394,0.7969609463940952
AdaBoost,0.783600354296863,0.7939551999892036
RandomForest,0.7825958072431723,0.799684911145568
SimpleTree,0.7060826403497111,0.7177259969313129
