,algorithm,balanced_acc,f1_weighted
0,Bagging,0.7733473300938989,0.7786737927965186
1,AdaBoost,0.7776864927908284,0.7865991214742943
2,RandomForest,0.7891992683089215,0.804190141579262
3,SimpleTree,0.6940623291528325,0.703398022488831
